group,enhancement,code,notes,copay,vsp,chargeback,exclusive_key,applies_to,composable,active,service_fee,chargeback_split
Sun,Photochromic,PR,,$75 ,30,$45 ,sun_tech,ALL,yes,yes,,
Sun,Photochromic,PR,,$75 ,30,$45 ,sun_tech,ALL,yes,yes,,
AR,A,QM,,$41 ,20,$21 ,ar_level,ALL,yes,yes,,
AR,A,QM,,$41 ,20,$21 ,ar_level,ALL,yes,yes,,
AR,C,QT,,$68 ,27,$41 ,ar_level,ALL,yes,yes,,
AR,C,QT,,$68 ,27,$41 ,ar_level,ALL,yes,yes,,
AR,D,QV,,$85 ,33,$52 ,ar_level,ALL,yes,yes,,
AR,D,QV,,$85 ,33,$52 ,ar_level,ALL,yes,yes,,
Sun,Mirror,QP,,$49 ,23,$26 ,mirror_type,ALL,yes,yes,,
Sun,Mirror,QP,,$49 ,23,$26 ,mirror_type,ALL,yes,yes,,
Misc,OtherCoating,QR,,$55 ,25,$30 ,mirror_type,ALL,yes,yes,,
Misc,OtherCoating,QR,,$55 ,25,$30 ,mirror_type,ALL,yes,yes,,
Misc,Scratch,QQ,,$17 ,10,$7 ,scratch_level,ALL,yes,yes,,
Misc,Scratch,QQ,,$17 ,10,$7 ,scratch_level,ALL,yes,yes,,
Misc,Scratch,QS,,$33 ,18,$15 ,scratch_level,ALL,yes,yes,,
Misc,Scratch,QS,,$33 ,18,$15 ,scratch_level,ALL,yes,yes,,
Oversize,Frames61mm+,RM,,$11 ,6,$5 ,oversize,ALL,yes,yes,,
Oversize,Frames61mm+,RM,,$14 ,8,$6 ,oversize,ALL,yes,yes,,
Oversize,Frames61mm+,RN,,$13 ,6,$7 ,oversize,ALL,yes,yes,,
Oversize,Frames61mm+,RN,,$18 ,8,$10 ,oversize,ALL,yes,yes,,
Misc,,SP,,$16 ,10,$6 ,,ALL,yes,yes,,
Misc,,SP,,$16 ,10,$6 ,,ALL,yes,yes,,
Misc,,SQ,,$36 ,19,$17 ,,ALL,yes,yes,,
Misc,,SQ,,$36 ,19,$17 ,,ALL,yes,yes,,
Misc,,SR,,$66 ,25,$41 ,,ALL,yes,yes,,
Misc,,SR,,$66 ,25,$41 ,,ALL,yes,yes,,
Misc,,SW,,$30 ,5,$25 ,,ALL,yes,yes,,
Misc,,SW,,$30 ,5,$25 ,,ALL,yes,yes,,
Misc,,SV,,$16 ,10,$6 ,,ALL,yes,yes,,
Misc,,SV,,$16 ,10,$6 ,,ALL,yes,yes,,
Misc,,BV,,$10 ,3,$7 ,,ALL,yes,yes,,
Misc,,BV,,$10 ,3,$7 ,,ALL,yes,yes,,
Misc,,LF,,$15 ,4,$11 ,,ALL,yes,yes,,
Misc,,LF,,$15 ,4,$11 ,,ALL,yes,yes,,
Misc,,TA,,$10 ,2,$8 ,,ALL,yes,yes,,
Misc,,IM,,$0 ,0,$5 ,,ALL,yes,yes,,
Misc,,IM,,$0 ,0,$5 ,,ALL,yes,yes,,
Misc,,IN,,$15 ,10,$5 ,,ALL,yes,yes,,
Misc,,IN,,$15 ,10,$5 ,,ALL,yes,yes,,
Misc,,IP,,$17 ,10,$7 ,,ALL,yes,yes,,
Misc,,IP,,$17 ,10,$7 ,,ALL,yes,yes,,
Misc,,IV,,$16 ,10,$6 ,,ALL,yes,yes,,
Misc,,IV,,$16 ,10,$6 ,,ALL,yes,yes,,
Progressive,N,CM,,$10 ,8,$2 ,progressive_level,MF,yes,yes,,
Progressive,N,NA,,$175 ,80,$95 ,progressive_level,MF,yes,yes,,
Progressive,N,NA+NB,Copay = 175+47,175 + 47,22,25,progressive_level,MF,yes,yes,,95 + 25
Progressive,N,NA+NH,Copay = 175+78,175 + 78,30,48,progressive_level,MF,yes,yes,,95 + 48
Progressive,N,NA+NJ,Copay = 175+125,175 + 125,48,77,progressive_level,MF,yes,yes,,95 + 77
Progressive,N,NA+ND,Copay = 175+35,175 + 35,20,15,progressive_level,MF,yes,yes,,95 + 15
Progressive,N,NA+NP,Copay = 175+82,175 + 82,31,51,progressive_level,MF,yes,yes,,95 + 51
Progressive,O,OA,,$150 ,71,$79 ,progressive_level,MF,yes,yes,,
Progressive,O,OA+OB,Copay = 150+47,150 + 47,22,25,progressive_level,MF,yes,yes,,79 + 25
Progressive,O,OA+OH,Copay = 150+78,150 + 78,30,48,progressive_level,MF,yes,yes,,79 + 48
Progressive,O,OA+OJ,Copay = 150+125,150 + 125,48,77,progressive_level,MF,yes,yes,,79 + 77
Progressive,O,OA+OD,Copay = 150+35,150 + 35,20,15,progressive_level,MF,yes,yes,,79 + 15
Progressive,O,OA+OP,Copay = 150+82,150 + 82,31,51,progressive_level,MF,yes,yes,,79 + 51
Progressive,F,FA,,$105 ,51,$54 ,progressive_level,MF,yes,yes,,
Progressive,F,FA+FB,Copay = 105+47,105 + 47,22,25,progressive_level,MF,yes,yes,,54 + 25
Progressive,F,FA+FH,Copay = 105+78,105 + 78,30,48,progressive_level,MF,yes,yes,,54 + 48
Progressive,F,FA+FJ,Copay = 105+125,105 + 125,48,77,progressive_level,MF,yes,yes,,54 + 77
Progressive,F,FA+FD,Copay = 105+35,105 + 35,20,15,progressive_level,MF,yes,yes,,54 + 15
Progressive,F,FA+FP,Copay = 105+82,105 + 82,31,51,progressive_level,MF,yes,yes,,54 + 51
Progressive,F,FE,,$110 ,51,$59 ,progressive_level,MF,yes,yes,,
Progressive,J,JA,,$95 ,49,$46 ,progressive_level,MF,yes,yes,,
Progressive,J,JA+JB,Copay = 95+47,95 + 47,22,25,progressive_level,MF,yes,yes,,46 + 25
Progressive,J,JA+JH,Copay = 95+78,95 + 78,30,48,progressive_level,MF,yes,yes,,46 + 48
Progressive,J,JA+JJ,Copay = 95+125,95 + 125,48,77,progressive_level,MF,yes,yes,,46 + 77
Progressive,J,JA+JD,Copay = 95+35,95 + 35,20,15,progressive_level,MF,yes,yes,,46 + 15
Progressive,J,JA+JP,Copay = 95+82,95 + 82,31,51,progressive_level,MF,yes,yes,,46 + 51
Progressive,J,JE,,$105 ,49,$56 ,progressive_level,MF,yes,yes,,
Progressive,K,KA,,$55 ,27,$28 ,progressive_level,MF,yes,yes,,
Progressive,K,KA+KB,Copay = 55+47,55 + 47,22,25,progressive_level,MF,yes,yes,,28 + 25
Progressive,K,KA+KH,Copay = 55+78,55 + 78,30,48,progressive_level,MF,yes,yes,,28 + 48
Progressive,K,KA+KJ,Copay = 55+125,55 + 125,48,77,progressive_level,MF,yes,yes,,28 + 77
Progressive,K,KA+KD,Copay = 55+35,55 + 35,20,15,progressive_level,MF,yes,yes,,28 + 15
Progressive,K,KA+KP,Copay = 55+82,55 + 82,31,51,progressive_level,MF,yes,yes,,28 + 51
Progressive,K,KE,,$80 ,27,$53 ,progressive_level,MF,yes,yes,,
