group,enhancement,code,notes,copay,vsp,chargeback,exclusive_key,applies_to,composable,active,service_fee
Oversize,Frames61mm+,RM,,$14 ,8,$6 ,oversize,ALL,yes,yes,
Oversize,Frames61mm+,RN,,$13 ,6,$7 ,oversize,ALL,yes,yes,
Oversize,Frames61mm+,RN,,$18 ,8,$10 ,oversize,ALL,yes,yes,
Misc,,SP,,$16 ,10,$6 ,,ALL,yes,yes,
Misc,,SQ,,$36 ,19,$17 ,,ALL,yes,yes,
Misc,,SR,,$66 ,25,$41 ,,ALL,yes,yes,
Misc,,SW,,$30 ,5,$25 ,,ALL,yes,yes,
Misc,,SV,,$16 ,10,$6 ,,ALL,yes,yes,
Misc,,BV,,$10 ,3,$7 ,,ALL,yes,yes,
Misc,,LF,,$15 ,4,$11 ,,ALL,yes,yes,
Misc,,TA,,$10 ,2,$8 ,,ALL,yes,yes,
Misc,,IM,,$0 ,0,$5 ,,ALL,yes,yes,
Misc,,IN,,$15 ,10,$5 ,,ALL,yes,yes,
Misc,,IP,,$17 ,10,$7 ,,ALL,yes,yes,
Misc,,IV,,$16 ,10,$6 ,,ALL,yes,yes,
Progressive,N,CM,,$10 ,8,$2 ,progressive_level,MF,yes,yes,
Progressive,N,NA,,$175 ,80,$95 ,progressive_level,MF,yes,yes,
Progressive,N,NA+NB,Copay = 175+47,$222 ,22,$25 ,progressive_level,MF,yes,yes,
Progressive,N,NA+NH,Copay = 175+78,$253 ,30,$48 ,progressive_level,MF,yes,yes,
Progressive,N,NA+NJ,Copay = 175+125,$300 ,48,$77 ,progressive_level,MF,yes,yes,
Progressive,N,NA+ND,Copay = 175+35,$210 ,20,$15 ,progressive_level,MF,yes,yes,
Progressive,N,NA+NP,Copay = 175+82,$257 ,31,$51 ,progressive_level,MF,yes,yes,
Progressive,O,OA,,$150 ,71,$79 ,progressive_level,MF,yes,yes,
Progressive,O,OA+OB,Copay = 150+47,$197 ,22,$25 ,progressive_level,MF,yes,yes,
Progressive,O,OA+OH,Copay = 150+78,$228 ,30,$48 ,progressive_level,MF,yes,yes,
Progressive,O,OA+OJ,Copay = 150+125,$275 ,48,$77 ,progressive_level,MF,yes,yes,
Progressive,O,OA+OD,Copay = 150+35,$185 ,20,$15 ,progressive_level,MF,yes,yes,
Progressive,O,OA+OP,Copay = 150+82,$232 ,31,$51 ,progressive_level,MF,yes,yes,
Progressive,F,FA,,$105 ,51,$54 ,progressive_level,MF,yes,yes,
Progressive,F,FA+FB,Copay = 105+47,$152 ,22,$25 ,progressive_level,MF,yes,yes,
Progressive,F,FA+FH,Copay = 105+78,$183 ,30,$48 ,progressive_level,MF,yes,yes,
Progressive,F,FA+FJ,Copay = 105+125,$230 ,48,$77 ,progressive_level,MF,yes,yes,
Progressive,F,FA+FD,Copay = 105+35,$140 ,20,$15 ,progressive_level,MF,yes,yes,
Progressive,F,FA+FP,Copay = 105+82,$187 ,31,$51 ,progressive_level,MF,yes,yes,
Progressive,F,FE,,$110 ,51,$59 ,progressive_level,MF,yes,yes,
Progressive,J,JA,,$95 ,49,$46 ,progressive_level,MF,yes,yes,
Progressive,J,JA+JB,Copay = 95+47,$142 ,22,$25 ,progressive_level,MF,yes,yes,
Progressive,J,JA+JH,Copay = 95+78,$173 ,30,$48 ,progressive_level,MF,yes,yes,
Progressive,J,JA+JJ,Copay = 95+125,$220 ,48,$77 ,progressive_level,MF,yes,yes,
Progressive,J,JA+JD,Copay = 95+35,$130 ,20,$15 ,progressive_level,MF,yes,yes,
Progressive,J,JA+JP,Copay = 95+82,$177 ,31,$51 ,progressive_level,MF,yes,yes,
Progressive,J,JE,,$105 ,49,$56 ,progressive_level,MF,yes,yes,
Progressive,K,KA,,$55 ,27,$28 ,progressive_level,MF,yes,yes,
Progressive,K,KA+KB,Copay = 55+47,$102 ,22,$25 ,progressive_level,MF,yes,yes,
Progressive,K,KA+KH,Copay = 55+78,$133 ,30,$48 ,progressive_level,MF,yes,yes,
Progressive,K,KA+KJ,Copay = 55+125,$180 ,48,$77 ,progressive_level,MF,yes,yes,
Progressive,K,KA+KD,Copay = 55+35,$90 ,20,$15 ,progressive_level,MF,yes,yes,
Progressive,K,KA+KP,Copay = 55+82,$137 ,31,$51 ,progressive_level,MF,yes,yes,
Progressive,K,KE,,$80 ,27,$53 ,progressive_level,MF,yes,yes,
Material,CR,BA+BH,,45 + 58,21,37,base_material,SV,yes,yes,
Material,CR,BA+BH,,55 + 68,21,40,base_material,MF,yes,yes,
Material,CR,BA+BB,,45 + 28,21,16,base_material,SV,yes,yes,
Material,CR,BA+BB,,55 + 28,21,16,base_material,MF,yes,yes,
Material,CR,BA+BJ,,45 + 86,21,57,base_material,SV,yes,yes,
Material,CR,BA+BD,,45 + 10,21,10,base_material,SV,yes,yes,
Material,CR,BA+BD,,55 + 10,21,10,base_material,MF,yes,yes,
